N1	N2	P1	P2	N	P	FC
0610007C21Rik	14.5673108389422	15.6396337259136	28.9242734524337	22.1432853053318	15.1034722824279	25.5337793788827	0.757526831147166
0610007L01Rik	68.6422510739011	65.9098849877786	49.7936859434301	48.1663770103158	67.2760680308399	48.980031476873	-0.457899688284154
0610007P08Rik	28.0522208725141	26.721431337418	34.6908216407353	33.6880750799065	27.3868261049661	34.1894483603209	0.320069065454032
0610007P14Rik	46.9040348993805	50.7617826075366	68.4663181722164	67.5654090085766	48.8329087534586	68.0158635903965	0.478017555394632
0610007P22Rik	30.0366223490264	29.1790880657759	24.0730503733863	19.3990319982608	29.6078552074011	21.7360411858235	-0.445890781174483
0610009B22Rik	30.803322919497	32.6644921532652	59.7707296343012	73.9055804421545	31.7339075363811	66.8381550382279	1.07464673301486
0610009D07Rik	88.0352655034527	81.5942033814805	228.556679780781	277.926619409229	84.8147344424666	253.241649595005	1.57812787438336
0610009L18Rik	1	1.11711669470811	1.28145515295592	1.13555309258112	1.05855834735406	1.20850412276852	0.191121602447214
0610009O20Rik	28.7738214094277	29.1790880657759	7.78026342866096	6.1509125848144	28.9764547376018	6.96558800673768	-2.05656404274032
0610010B08Rik	1	1	1	1	1	1	0
0610010F05Rik	8.92980664430514	11.1711669470811	7.9633284505118	10.5038661063754	10.0504867956931	9.23359727844358	-0.122300664075876
0610010K14Rik	135.164800570619	134.456165375068	132.630608330938	109.296985160933	134.810482972844	120.963796745935	-0.15635735811157
0610010O12Rik	17.0478126845825	16.0417957360085	26.0867656137456	23.5627266710582	16.5448042102955	24.8247461424019	0.585400745814568
0610011F06Rik	9.78670728188998	10.0987349201613	9.06171858161688	8.04350107244959	9.94272110102565	8.55260982703324	-0.217276014023884
0610011L14Rik	61.1556455034231	55.498357393099	41.4642274492166	28.767345012055	58.327001448261	35.1157862306358	-0.732044171091566
0610012G03Rik	27.9169207718428	27.9726020354911	17.8488396304575	17.8849612081526	27.944761403667	17.8669004193051	-0.6452884822556
0610030E20Rik	4.0139029865816	3.66414275864261	6.68187329755588	6.24554200919616	3.83902287261211	6.46370765337602	0.751622792322702
0610031J06Rik	66.4774494631605	63.765020933939	62.5167049620639	48.8287829809881	65.1212351985498	55.672743971526	-0.226156872619144
0610037L13Rik	29.6307220470125	30.5643127672139	31.6702487801964	31.0384511972173	30.0975174071132	31.3543499887068	0.0590211199539468
0610037P05Rik	40.0488297987018	41.6461103787184	77.4365042429079	76.9337220223708	40.8474700887101	77.1851131326393	0.918075891467821
0610040B10Rik	1	1	1.09839013110508	1	1	1.04919506555254	0.0692829276224896
0610040F04Rik	1.71380127516967	1.47459403701471	2.74597532776269	3.12277100459808	1.59419765609219	2.93437316618038	0.880221838656372
0610040J01Rik	2.7511020469829	3.75351209421925	67.4594605520368	68.0385561304854	3.25230707060108	67.7490083412611	4.3806644467464
0910001L09Rik	52.5866391275747	52.1023226411863	71.2122934999791	59.9950550580358	52.3444808843805	65.6036742790074	0.325739188643325
1110001A16Rik	23.1814172483477	22.6104419008922	38.3521220777522	53.4656247756944	22.8959295746199	45.9088734267233	1.00368189009452
1110001J03Rik	6.99050520134998	7.90918619853343	12.9976165514101	15.6138550229904	7.44984569994171	14.3057357872002	0.941311251613728
1110002B05Rik	25.8874192617735	25.0234139614617	59.2215345687487	62.266161243198	25.4554166116176	60.7438479059734	1.25476562357138
1110002L01Rik	1	1	1	1	1	1	0
