Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Human Embryonic Stem Cell Pluripotency	4.22E00	5.88E-02	NaN	FGF4,FOXD3,FZD5,LEFTY2,MRAS,PDGFC,S1PR2,SOX2
Mouse Embryonic Stem Cell Pluripotency	4.13E00	6.73E-02	NaN	FOXD3,FZD5,IL6ST,LIFR,MAPK11,MRAS,SOX2
Bladder Cancer Signaling	3.41E00	6.19E-02	NaN	DAPK1,FGF17,FGF4,MRAS,PDGFC,VEGFC
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	2.92E00	5E-02	NaN	FOXD3,FZD5,IL6ST,LIFR,MRAS,SOX2
Sperm Motility	2.81E00	3.62E-02	NaN	EPHB4,MRAS,NOTUM,NPR1,PTK2B,SYK,TNK2,TYRO3
Sonic Hedgehog Signaling	2.51E00	1E-01	NaN	GLI1,GLI2,PTCH1
Corticotropin Releasing Hormone Signaling	2.51E00	4.14E-02	NaN	GLI1,GLI2,MAPK11,NPR1,NT5C,PTCH1
Axonal Guidance Signaling	2.49E00	2.46E-02	NaN	ADAM19,ADAM23,EPHB4,FZD5,GLI1,GLI2,MRAS,NOTUM,PDGFC,PTCH1,TUBB2B,VEGFC
Gap Junction Signaling	2.45E00	3.52E-02	NaN	GJC1,GRIK3,MRAS,NOTUM,NPR1,NT5C,TUBB2B
Osteoarthritis Pathway	2.29E00	3.29E-02	NaN	FZD5,GLI1,GLI2,PDGFC,PTCH1,S1PR2,VEGFC
Basal Cell Carcinoma Signaling	2.24E00	5.48E-02	NaN	FZD5,GLI1,GLI2,PTCH1
Glioblastoma Multiforme Signaling	2.22E00	3.61E-02	NaN	CDK6,FZD5,MRAS,NOTUM,PDGFC,RHOC
Sphingosine-1-phosphate Signaling	2.21E00	4.24E-02	NaN	NOTUM,PDGFC,PTK2B,RHOC,S1PR2
IL-15 Production	2.17E00	4.13E-02	NaN	EPHB4,PTK2B,SYK,TNK2,TYRO3
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	1.99E00	6.52E-02	NaN	FGF4,FOXD3,SOX2
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.91E00	2.56E-02	NaN	FZD5,IL6ST,MRAS,NOTUM,PDGFC,SFRP1,SFRP4,VEGFC
Adrenomedullin signaling pathway	1.87E00	3.03E-02	NaN	MAPK11,MRAS,NOTUM,NPR1,NT5C,PTK2B
Leukocyte Extravasation Signaling	1.86E00	3.02E-02	NaN	ARHGAP8/PRR5-ARHGAP8,CLDN7,CYBA,DLC1,MAPK11,PTK2B
VEGF Signaling	1.76E00	3.96E-02	NaN	MRAS,PDGFC,PTK2B,VEGFC
AMPK Signaling	1.73E00	2.82E-02	NaN	GYS1,MAPK11,MRAS,PCK2,SMARCD1,SMARCD3
CNTF Signaling	1.66E00	4.92E-02	NaN	IL6ST,LIFR,MRAS
IL-2 Signaling	1.64E00	4.84E-02	NaN	MRAS,PTK2B,SYK
Paxillin Signaling	1.64E00	3.64E-02	NaN	ITGAE,MAPK11,MRAS,PTK2B
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.61E00	8E-02	NaN	IL6ST,MAPK11
HIF1α Signaling	1.59E00	3.51E-02	NaN	MAPK11,MRAS,PDGFC,VEGFC
Wnt/β-catenin Signaling	1.55E00	2.89E-02	NaN	FZD5,SFRP1,SFRP4,SOX12,SOX2
Role of Tissue Factor in Cancer	1.5E00	3.31E-02	NaN	MAPK11,MRAS,PTK2B,VEGFC
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.5E00	4.29E-02	NaN	MRAS,PTK2B,SYK
RhoGDI Signaling	1.49E00	2.78E-02	NaN	ARHGAP8/PRR5-ARHGAP8,ARHGDIB,DLC1,MRAS,RHOC
RhoA Signaling	1.48E00	3.25E-02	NaN	ARHGAP8/PRR5-ARHGAP8,DLC1,LPAR2,PTK2B
IL-15 Signaling	1.47E00	4.17E-02	NaN	MAPK11,MRAS,SYK
B Cell Receptor Signaling	1.44E00	2.69E-02	NaN	DAPP1,MAPK11,MRAS,PTK2B,SYK
Heparan Sulfate Biosynthesis (Late Stages)	1.41E00	3.95E-02	NaN	HS3ST3B1,NDST2,NOTUM
