Gene	D10_oocyte	D14_oocyte	8w_oocyte	MII_oocyte	PN5_zygote	2cell_early	2cell_late	4cell	8cell	ICM
Xkr4	0.164681	0.102232	0.191191	0.418849	0.243896	0.280121	0.0362221	0	0	0
Lypla1	53.7068	39.0337	34.5078	57.1724	58.4255	70.1571	76.0307	71.8993	103.701	90.6405
Rp1	1.20563	0.508886	0.202924	0.157208	0.316653	0.119742	0.131949	0	0	0.00588535
Mrpl15	12.427	13.1085	7.85712	0.458739	1.03977	1.0101	5.97577	26.9097	57.5383	54.4515
Sox17	0.0423415	0.026297	0	0	0.0260959	0.211451	0.0155097	0.0248212	0	2.96308
Atp6v1h	68.3203	77.2106	68.7347	106.965	62.5886	61.922	43.9954	17.9457	20.0586	55.4428
Rgs20	0	0	0	0	0	0	0.028676	0	0	0.0608389
Npbwr1	0	0	0	0	0	0	0	0	0	0.163008
Rb1cc1	4.51391	2.93075	3.20305	8.06968	5.13141	13.0423	49.1706	114.579	63.4597	2.45287
Fam150a	0	0	0	0	0	0	0	0	0	0.547305
Pcmtd1	4.76813	2.84117	1.22316	1.51539	1.16076	3.94242	4.23711	2.19879	1.61603	9.75572
Oprk1	0.250581	0.35764	0.153623	0.305347	0.325064	0.332562	0.257376	0.106078	0	0
Rrs1	0.315514	0.510028	0.0203087	0	0.0775719	0.943335	7.25717	8.53787	3.50997	4.79138
Tcea1	75.1506	82.5683	62.5197	120.975	113.331	104.678	99.0197	100.936	71.3352	45.9315
St18	0.522151	0.381829	0.384512	1.21108	0.938969	0.677344	0.322699	0.265077	0.0238821	0
Adhfe1	3.93809	3.2444	4.7233	1.51824	3.34192	3.12219	0.647687	0.120887	0.0308313	0.243472
2610203C22Rik	1.52971	1.61394	4.71638	7.21514	7.61195	10.5956	8.13897	0.903013	0.275383	0
3110035E14Rik	0	0	0	0	0.0234737	0	0	0	0.0149397	0
Sntg1	0.0818173	0.101498	0.040953	0.0792015	0.107673	0.0914279	0.0300344	0	0	0.0126766
Mybl1	1.37123	1.4137	1.27236	1.98023	1.64449	2.60193	6.86419	3.04086	0.0669674	0.68159
Mcmdc2	0	0	0	0	0	0.0487809	0.0894307	0.0187874	0.11495	0.321734
Vcpip1	13.5079	13.9539	13.1942	9.58463	15.4339	7.92465	6.88911	12.2872	2.76336	5.45364
1700034P13Rik	5.77376e-07	0.243453	0.133612	0.312654	0.265316	0.554855	0.483785	0.455277	0.448971	0.614876
Tcf24	0.493838	0.375773	0	0	0	0	0.186892	0	0.0750642	0.382591
Snhg6	95.1592	115.99	107.542	10.1662	23.8605	11.5153	72.4082	89.8532	206.078	234.413
Snord87	0	0	0	0	0	0	0	0	0	0
Cspp1	4.52626	3.39265	2.63242	0.884003	0.952655	0.630069	1.95041	2.25472	2.4876	3.40175
Arfgef1	9.25252	8.82772	7.9573	16.7035	17.9304	18.5039	30.2529	13.5781	1.29665	4.76392
Ppp1r42	0.14758	0.367675	0.347478	0.268071	0.963109	1.098	0.73657	0	0	0
Sgk3	0.0945852	0.0782428	0.0881916	0.209749	0.199412	1.31489	11.7781	12.6137	41.7743	5.2698
Cpa6	0.0336501	0.0418515	0.194882	0.295418	0.223793	0.335176	0.172212	0	0	0.028247
Mir6341	0	0	0	0	0	0	0	0	0	0
Cops5	77.9352	86.0019	83.288	8.14168	31.0924	21.1503	14.0694	38.479	106.413	145.845
Gm17644	0.0416825	0	0	0	0.0116842	0.00505208	0	0.00364428	0.0297451	0.0644641
Slco5a1	4.30697	1.89787	1.21428	0.633143	1.60871	2.08845	0.687906	0.138608	0.0524359	0.0568147
Prdm14	0	0.0298182	0.0309256	0.185142	0.0591192	0.215682	2.31087	2.25185	4.53635	4.70402
Prex2	2.0419	1.90127	12.5181	20.9096	16.5204	12.8932	5.36888	0.825009	0.452309	0.13796
Sulf1	0.363054	0.193114	0.351415	0.373383	0.288315	0.344125	0.260477	0.229535	0.0509377	0.261174
A830018L16Rik	0.0660665	0.0115838	0.924527	1.10187	1.19232	1.42464	0.514126	0	0	1.52799
Tram1	91.9284	88.6715	80.1653	38.4122	126.565	130.162	90.4468	3.1706	41.9135	89.8241
Lactb2	10.7072	11.6319	19.4104	9.1322	14.0051	14.0976	17.3557	49.0742	63.8195	89.0338
Gm5523	0	0	0.150924	0	0.0718109	0.116435	0	0	0.0458971	0.282669
Xkr9	0.0678856	0.0844335	0.0873638	0.0744873	0	0.219743	1.46405	3.39167	9.38334	0.0788971
Msc	0	0	0	0	0	0.0388544	0.028534	0	2.07859	29.4654
Trpa1	1.09363	0.601409	5.46641	7.36435	5.00948	5.05586	0.710787	0.031963	0.348012	0.26812
Kcnb2	0.131317	0.108633	0.0918251	0.10918	0.0946787	0.148035	0.056214	0	0	0
Sbspon	0	0.0279132	0.159282	0.297357	0.138433	0.325468	0.148114	0.0172829	0.246784	0.504821
4930444P10Rik	0	0	0.0865484	0	0	0.132252	2.35268	9.64839	26.1702	1.26837
Rpl7	28.6615	26.9945	25.7662	0	1.82144	1.34634	23.6514	120.406	388.627	417.454
Rdh10	18.6523	16.114	24.5434	14.4017	26.232	33.312	19.5813	13.451	5.47638	4.25734
Ncoa2	16.6334	15.1775	9.3411	18.9819	15.0905	14.8363	20.1662	2.97176	0.810651	5.59212
Eya1	11.9124	8.22394	8.40371	9.58187	12.0131	13.0343	6.30943	0.430674	0	5.09934
