Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
G-Protein Coupled Receptor Signaling	4.05E00	8.46E-02	NaN	ADCY2,ATF2,CALCR,CAMK4,CHRM3,CXCR2,DRD3,DUSP1,DUSP4,FICD,GRB2,GRK4,MC1R,NPY1R,PDE3B,PDE6A,PIK3R1,PLCB1,PTGER4,RAPGEF4,RASD1,RGS16,SOS2
Cholecystokinin/Gastrin-mediated Signaling	3.58E00	1.09E-01	NaN	ATF2,FOS,GRB2,IL36G,JUN,MEF2D,PLCB1,PRKCH,PTGS2,RAC2,RASD1,RND3,SOS2
Prolactin Signaling	3.25E00	1.22E-01	NaN	FOS,GRB2,JUN,PIK3R1,PRKCH,PRLR,RASD1,SOCS1,SOCS4,SOS2
Endothelin-1 Signaling	3.05E00	8.56E-02	NaN	ABHD3,ADCY2,CASP8,EDNRB,FOS,GRB2,JUN,PIK3R1,PLA2G16,PLA2G4B,PLCB1,PLCL1,PLD1,PRKCH,PTGS2,RASD1
PPAR Signaling	3E00	1.06E-01	NaN	FOS,GRB2,IL1RAP,IL36G,JUN,NRIP1,PTGS2,RASD1,RXRA,SNW1,SOS2
Leptin Signaling in Obesity	2.93E00	1.2E-01	NaN	ADCY2,GRB2,LEPR,NPY,PDE3B,PIK3R1,PLCB1,PLCL1,POMC
RAR Activation	2.88E00	8.25E-02	NaN	ADCY2,ADH7,ALDH1A2,CSNK2A1,DUSP1,FOS,IGFBP3,JUN,NRIP1,PIK3R1,PRKCH,RDH16,REL,RXRA,RXRG,SNW1
IL-2 Signaling	2.87E00	1.29E-01	NaN	CSNK2A1,FOS,GRB2,JUN,PIK3R1,RASD1,SOCS1,SOS2
Aldosterone Signaling in Epithelial Cells	2.86E00	8.81E-02	NaN	DNAJB13,DNAJB14,Dnajb3,DNAJB9,DNAJC1,DUSP1,HSPA1A/HSPA1B,HSPA2,NR3C2,PIK3R1,PLCB1,PLCL1,PRKCH,SOS2
Neurotrophin/TRK Signaling	2.85E00	1.17E-01	NaN	ATF2,BDNF,FOS,GRB2,JUN,NTRK2,PIK3R1,RASD1,SOS2
IL-6 Signaling	2.81E00	9.52E-02	NaN	A2M,CSNK2A1,FOS,GRB2,IL1RAP,IL36G,IL6R,JUN,PIK3R1,RASD1,SOCS1,SOS2
VEGF Family Ligand-Receptor Interactions	2.55E00	1.06E-01	NaN	FLT4,FOS,GRB2,NRP1,PIK3R1,PLA2G4B,PRKCH,RASD1,SOS2
Unfolded protein response	2.49E00	1.25E-01	NaN	DDIT3,DNAJB9,HSPA1A/HSPA1B,Hspa1b,HSPA2,OS9,PPP1R15A
IGF-1 Signaling	2.43E00	9.52E-02	NaN	CSNK2A1,FOS,GRB2,IGFBP3,JUN,PIK3R1,RASD1,SOCS1,SOCS4,SOS2
T Cell Receptor Signaling	2.4E00	9.43E-02	NaN	CAMK4,FOS,GRB2,JUN,PAG1,PIK3R1,RASD1,SHB,SOS2,VAV3
